Ticker,Year,Total Liabilities,Total Equity,Long-Term Debt,Net Income,Operating Income,Profit Margin,Total Revenue,Debt_to_Equity,Debt_to_Revenue,Debt_Group
LB,2014,7458000000.0,18000000.0,4722000000.0,1042000000.0,1953000000.0,9.0,11454000000.0,414.3333333333333,0.41225772655840753,High Debt
MJN,2012,3239500000.0,18700000.0,1523200000.0,580400000.0,840100000.0,15.0,3901300000.0,173.23529411764707,0.3904339579114654,High Debt
CHTR,2014,24242000000.0,146000000.0,20887000000.0,-183000000.0,971000000.0,2.0,9108000000.0,166.04109589041096,2.2932586736934564,High Debt
HRB,2016,2834672000.0,23103000.0,1501925000.0,374267000.0,633192000.0,12.0,3038153000.0,122.69713889971,0.4943546292764058,High Debt
CHTR,2013,17144000000.0,151000000.0,14181000000.0,-169000000.0,909000000.0,2.0,8155000000.0,113.5364238410596,1.7389331698344574,High Debt
ALLE,2015,2237400000.0,25600000.0,1457500000.0,153900000.0,358600000.0,7.0,2068100000.0,87.3984375,0.7047531550698709,High Debt
PBI,2014,6422443000.0,77259000.0,2927127000.0,333755000.0,567822000.0,9.0,3821504000.0,83.12873581071462,0.7659620400763678,High Debt
UAL,2012,37147000000.0,481000000.0,11232000000.0,-723000000.0,39000000.0,2.0,37152000000.0,77.22869022869023,0.3023255813953488,High Debt
CSRA,2016,4781754000.0,64546000.0,2764854000.0,102922000.0,187343000.0,2.0,4250447000.0,74.08288662349332,0.6504854665873966,High Debt
PBI,2012,7749260000.0,110631000.0,3642375000.0,445163000.0,620154000.0,12.0,3823713000.0,70.04600880404227,0.9525754155712001,High Debt
OKE,2015,15110313000.0,335798000.0,8323582000.0,244977000.0,996159000.0,3.0,7763206000.0,44.998222145456495,1.0721835798251393,High Debt
ABC,2015,27346596000.0,616386000.0,3739225000.0,-138165000.0,422220000.0,0.0,135961803000.0,44.366023887628856,0.027502025697614497,High Debt
SPGI,2015,7989000000.0,194000000.0,3468000000.0,1156000000.0,1917000000.0,22.0,5313000000.0,41.18041237113402,0.652738565782044,High Debt
CLX,2015,4046000000.0,118000000.0,1796000000.0,580000000.0,1008000000.0,10.0,5655000000.0,34.28813559322034,0.31759504862953136,High Debt
NAVI,2014,142154000000.0,4198000000.0,0.0,1149000000.0,0.0,20.0,5637000000.0,33.86231538828013,0.0,High Debt
PBI,2015,5962740000.0,178721000.0,2507912000.0,407943000.0,603570000.0,11.0,3578060000.0,33.36339881715075,0.7009139030647893,High Debt
NAVI,2015,130137000000.0,3975000000.0,0.0,997000000.0,0.0,19.0,5197000000.0,32.7388679245283,0.0,High Debt
PBI,2013,6567532000.0,205176000.0,3346295000.0,142835000.0,525861000.0,4.0,3791335000.0,32.009260342340234,0.8826165453593523,High Debt
CLX,2013,4165000000.0,146000000.0,2170000000.0,572000000.0,970000000.0,10.0,5533000000.0,28.527397260273972,0.39219230074100847,High Debt
CLX,2014,4104000000.0,154000000.0,1595000000.0,558000000.0,977000000.0,10.0,5514000000.0,26.649350649350648,0.28926369241929634,High Debt
OKE,2014,14669658000.0,592115000.0,7150142000.0,314107000.0,1143571000.0,3.0,12195091000.0,24.775014988642408,0.5863131320627292,High Debt
PFG,2015,209348700000.0,9311600000.0,3446300000.0,1234000000.0,1430800000.0,10.0,11964400000.0,22.4825701275828,0.28804620373775536,High Debt
ADS,2012,11471652000.0,528487000.0,4708486000.0,422256000.0,974364000.0,12.0,3641390000.0,21.70659259357373,1.293046336701095,High Debt
PFG,2014,208903000000.0,10184000000.0,2559200000.0,1144100000.0,1494900000.0,11.0,10477600000.0,20.512863315003926,0.24425440940673437,High Debt
PFG,2013,198507200000.0,9684200000.0,2752000000.0,912700000.0,1124000000.0,10.0,9289500000.0,20.49804836744388,0.29624845255395876,High Debt
AAL,2014,41204000000.0,2021000000.0,16043000000.0,2882000000.0,4249000000.0,7.0,42650000000.0,20.387926768926274,0.37615474794841736,High Debt
KMB,2014,14797000000.0,729000000.0,5702000000.0,1526000000.0,2521000000.0,8.0,19724000000.0,20.29766803840878,0.2890894341918475,High Debt
PRU,2013,696503000000.0,35278000000.0,31262000000.0,-667000000.0,-1684000000.0,2.0,41461000000.0,19.74326775894325,0.7540097923349653,High Debt
AMP,2015,138125000000.0,7217000000.0,2907000000.0,1562000000.0,2559000000.0,13.0,12200000000.0,19.138838852708883,0.23827868852459017,High Debt
VZ,2014,220318000000.0,12298000000.0,110536000000.0,9625000000.0,19599000000.0,8.0,127079000000.0,17.91494551959668,0.8698211348845993,High Debt
PRU,2012,670732000000.0,38503000000.0,31154000000.0,520000000.0,708000000.0,1.0,84847000000.0,17.42025296730125,0.3671785684820913,High Debt
PRU,2014,724885000000.0,41770000000.0,27911000000.0,1381000000.0,1759000000.0,3.0,54105000000.0,17.354201580081398,0.5158672950743924,High Debt
